Taxonomy,Inferred Activity
Tokudaia tokunoshimensis,2855.0673933822
Rhinopithecus roxellana,2619.10011543739
Rattus norvegicus,2432.797044371753
Cynocephalus volans,2352.5250807502553
Mus spretus,2299.3669197282893
Choloepus didactylus,2239.6534686883815
Balaenoptera acutorostrata scammoni,2180.001217247851
Mustela lutreola,1860.7615064562974
Suncus etruscus,1654.7350818248945
Mus musculus,1557.6387518453885
Phocoena sinus,1551.2177971095757
Erethizon dorsatum,1511.0422936100153
Eubalaena glacialis,1464.7455282260921
Elephas maximus,1442.0350343174946
Saguinus oedipus,1341.1931676848994
Apodemus sylvaticus,1172.2147848002442
Ailuropoda melanoleuca,1140.4917836061381
Dasyurus viverrinus,1118.0463834773377
Nycticebus coucang,1107.6869686417715
Dugong dugon,1072.7555731192783
Marmota monax,1044.6119432857054
Lynx rufus,1044.221102108644
Mus musculus domesticus,1041.8071133121066
Prionailurus bengalensis,899.9767923369109
Rhynchonycteris naso,898.8801649285638
Prionailurus viverrinus,875.5266791274762
Dipodomys spectabilis,873.3926411148518
Myotis yumanensis,860.4738830182615
Pantholops hodgsonii,856.9489237407986
Pongo abelii,850.9956123024033
Plecotus auritus,840.4058026687635
Dasypus novemcinctus,833.0292674810203
Neofelis nebulosa,820.4597865298512
Lipotes vexillifer,814.9828903693998
Saccopteryx bilineata,811.2649258233906
Hippopotamus amphibius,756.1653738182337
Vulpes lagopus,739.3222025377459
Lepus oiostolus,738.3314214460582
Neogale vison,734.0990108598149
Lynx canadensis,711.3011064826878
Elaphurus davidianus,708.4938519750166
Martes zibellina,701.7641826603541
Molossus alvarezi,701.150231006791
Panthera leo,700.7214957861408
Sylvilagus floridanus,649.4322683779146
Capreolus capreolus,648.4071091013388
Cercopithecus albogularis,619.3881508242067
Canis lupus,615.6594410909432
Spilogale interrupta,612.9726223138251
Diceros bicornis,604.9320771232791
Mus musculus castaneus,603.0977005320157
Hyperoodon ampullatus,596.7532441462416
Canis lupus familiaris,596.4477557174966
Meles meles,585.6832291851333
Zalophus californianus,585.1214844012402
Mustela erminea,578.6779036711694
Marmota marmota marmota,574.246558525591
Paguma larvata,571.5218163920442
Manis pentadactyla,570.869453542958
Mus musculus molossinus,563.8926305603741
Sciurus carolinensis,562.4297420855653
Axis porcinus,557.9335807593118
Microtus californicus,534.1411330141224
Notamacropus eugenii,532.2798638633149
Ursus maritimus,526.8273122559868
Jaculus jaculus,516.1089930403764
Neophocaena asiaeorientalis sunameri,514.791853834177
Sciurus vulgaris,514.0669254450671
Lutra lutra,505.1727839075636
Kobus ellipsiprymnus,502.8270822579068
Chionomys nivalis,487.42951907402494
Bubalus kerabau,485.4380682129622
Panthera pardus,482.12156650577845
Eptesicus nilssonii,466.229304195671
Litocranius walleri,462.35143375415095
Microtus oregoni,461.1026059347843
Felis chaus,460.40938918797656
Dipodomys merriami,459.25857938107424
Myotis myotis,451.523159348101
Canis latrans,449.8070924155285
Inia geoffrensis,442.92325167547904
Fukomys damarensis,441.8314974262811
Monodelphis domestica,425.74482687452723
Dipus sagitta,424.5561311460761
Martes martes,421.9254382047998
Dama dama,416.864175511315
Ovis ammon polii x Ovis aries,416.6848044693004
Theropithecus gelada,411.0667849014891
Peromyscus californicus insignis,401.0364790252463
Perognathus longimembris,400.91029903160046
Sorex araneus,399.2870977816664
Panthera tigris,392.5379998294134
Otocolobus manul,389.80495098421227
Tamandua tetradactyla,385.2934938686693
Peromyscus eremicus,384.7713611289013
Lophocebus aterrimus,359.761930863033
Capra sibirica,358.81596707691733
Erinaceus europaeus,355.03155221958474
Callithrix jacchus,351.75219784808826
Myotis daubentonii,350.76145453046047
Chlorocebus sabaeus,346.5533992723072
Ovis ammon,338.02738439903027
Saimiri boliviensis boliviensis,337.64005374832016
Peromyscus maniculatus sonoriensis,331.23707310511077
Marmota himalayana,329.64426765301147
Grammomys surdaster,329.00524174525304
Panthera uncia,328.8410763973931
Nomascus leucogenys,323.38257311511734
Gulo gulo,319.4358937995634
Nyctalus aviator,314.35037208247144
Pipistrellus nathusii,312.37138862826725
Camelus bactrianus,307.6258951190545
Ovis orientalis,304.30532370583876
Arvicola amphibius,295.26779288943305
Acomys russatus,291.66074981314307
Kogia breviceps,285.49864053620115
Pusa hispida saimensis,280.09426634972965
Psammomys obesus,279.55018747201274
Tupaia tana,265.398387481431
Panthera tigris altaica,265.1424793477002
Ochotona princeps,261.3615597272222
Dromiciops gliroides,258.57685763269956
Ochotona curzoniae,257.88640956920165
Lepus europaeus,254.68480179335512
Mesoplodon densirostris,252.9804689057388
Sarcophilus harrisii,252.0977029763302
Hipposideros larvatus,248.62189136561702
Desmodus rotundus,248.61136691512817
Lama guanicoe cacsilensis,248.24739369106152
Nyctereutes procyonoides,248.07417361096645
Capricornis sumatraensis,247.61240311676318
Cervus elaphus,246.1039468729271
Macaca nigra,245.2390288622297
Pongo pygmaeus,244.03561977192354
Phoca vitulina,239.80998031902232
Bos gaurus x Bos taurus,236.32865040742882
Felis nigripes,234.66183065555325
Vulpes vulpes,231.1994032116115
Tapirus indicus,230.77772478985565
Syncerus caffer,225.509253777163
Equus quagga,218.52683017359902
Macaca fascicularis,213.40507025700987
Phocoena phocoena,213.305749442179
Bos indicus x Bos taurus,213.05159625872457
Vicugna vicugna mensalis,209.25127146092973
Ailurus styani,206.02779495304844
Rhinolophus ferrumequinum,205.30685369493204
Bos javanicus,202.7952969287751
Sus scrofa,199.67566383912074
Damaliscus lunatus,196.6842493420512
Bubalus bubalis,192.05310314619115
Leopardus geoffroyi,188.52123051761646
Globicephala melas,187.14936044101495
Bos taurus,184.06730596203113
Panthera tigris jacksoni,176.86010539674163
Papio anubis,174.42923132797307
Vicugna pacos huacaya,169.0095491498944
Antilocapra americana,168.92351488957456
Sus scrofa scrofa,168.21088826200716
Tadarida brasiliensis,165.65507890579968
Budorcas taxicolor,165.05735293234403
Ursus arctos,165.00932675516515
Hylobates moloch,163.91277762572705
Talpa occidentalis,162.65482203547285
Felis catus,160.83766334834095
Molossus nigricans,158.25391722377887
Delphinus delphis,156.33964662948873
Sturnira hondurensis,153.06770644874362
Macaca thibetana,150.75699163628383
Gorilla gorilla,148.6406609959211
Tursiops truncatus,147.29045844484244
Macaca mulatta,145.8242215109417
Cavia porcellus,144.31627555384216
Balaenoptera physalus,143.0832720596827
Pan troglodytes,141.26586757697476
Pan paniscus,140.92344623552844
Eptesicus fuscus,140.5341730212572
Oryx dammah,138.87294753516187
Enhydra lutris kenyoni,134.65628912396392
Ursus americanus,131.7249603256777
Microtus pennsylvanicus,128.91841597032413
Cervus albirostris,128.90842389597054
Eudorcas thomsonii,124.38090755396735
Arvicanthis niloticus,119.72757492445562
Bison bonasus,115.17810703778956
Cephalophus harveyi,113.96831829267178
Eschrichtius robustus,110.51889339739175
Oryctolagus cuniculus cuniculus,105.84625195821911
Phodopus roborovskii,105.10964235716584
Sousa chinensis,101.32390776939162
